,Name,State abbreviation
0,Alabama A & M University,Alabama
1,University of Alabama at Birmingham,Alabama
2,Amridge University,Alabama
3,University of Alabama in Huntsville,Alabama
4,Alabama State University,Alabama
5,The University of Alabama,Alabama
6,Athens State University,Alabama
7,Auburn University at Montgomery,Alabama
8,Auburn University,Alabama
9,Birmingham Southern College,Alabama
10,Concordia College Alabama,Alabama
11,Faulkner University,Alabama
12,Huntingdon College,Alabama
13,Jacksonville State University,Alabama
14,Judson College,Alabama
15,University of West Alabama,Alabama
16,Miles College,Alabama
17,University of Mobile,Alabama
18,University of Montevallo,Alabama
19,University of North Alabama,Alabama
20,Oakwood University,Alabama
21,Samford University,Alabama
22,University of South Alabama,Alabama
23,Spring Hill College,Alabama
24,Stillman College,Alabama
25,Talladega College,Alabama
26,Troy University,Alabama
27,Tuskegee University,Alabama
28,University of Alaska Anchorage,Alaska
29,University of Alaska Fairbanks,Alaska
30,University of Alaska Southeast,Alaska
31,Alaska Pacific University,Alaska
32,American Indian College of the Assemblies of God Inc,Arizona
33,Arizona State University-Tempe,Arizona
34,University of Arizona,Arizona
35,Embry-Riddle Aeronautical University-Prescott,Arizona
36,Northern Arizona University,Arizona
37,Ottawa University-Phoenix,Arizona
38,Prescott College,Arizona
39,Arizona Christian University,Arizona
40,University of Arkansas at Little Rock,Arkansas
41,Arkansas Baptist College,Arkansas
42,Lyon College,Arkansas
43,University of Arkansas,Arkansas
44,University of Arkansas at Pine Bluff,Arkansas
45,Arkansas State University-Main Campus,Arkansas
46,Arkansas Tech University,Arkansas
47,University of Arkansas at Monticello,Arkansas
48,University of Central Arkansas,Arkansas
49,Central Baptist College,Arkansas
50,Harding University,Arkansas
51,Henderson State University,Arkansas
52,Hendrix College,Arkansas
53,John Brown University,Arkansas
54,Ouachita Baptist University,Arkansas
55,University of the Ozarks,Arkansas
56,Philander Smith College,Arkansas
57,Williams Baptist College,Arkansas
58,Southern Arkansas University Main Campus,Arkansas
59,University of Arkansas-Fort Smith,Arkansas
60,Azusa Pacific University,California
61,Biola University,California
62,California Institute of Integral Studies,California
63,California Baptist University,California
64,California Institute of Technology,California
65,California Lutheran University,California
66,California Polytechnic State University-San Luis Obispo,California
67,Alliant International University,California
68,California State University-Bakersfield,California
69,California State University-Stanislaus,California
70,California State University-San Bernardino,California
71,California State Polytechnic University-Pomona,California
72,California State University-Chico,California
73,California State University-Dominguez Hills,California
74,California State University-Fresno,California
75,California State University-Fullerton,California
76,California State University-East Bay,California
77,California State University-Long Beach,California
78,California State University-Los Angeles,California
79,California State University-Northridge,California
80,California State University-Sacramento,California
81,University of California-Berkeley,California
82,University of California-Davis,California
83,University of California-Irvine,California
84,University of California-Los Angeles,California
85,University of California-Riverside,California
86,University of California-San Diego,California
87,University of California-Santa Barbara,California
88,University of California-Santa Cruz,California
89,California Maritime Academy,California
90,Chapman University,California
91,Concordia University-Irvine,California
92,San Diego Christian College,California
93,Claremont Graduate University,California
94,Claremont McKenna College,California
95,Coleman University,California
96,Dominican University of California,California
97,Fielding Graduate University,California
98,Fresno Pacific University,California
99,Golden Gate University-San Francisco,California
100,Harvey Mudd College,California
101,Holy Names University,California
102,Humboldt State University,California
103,Humphreys College-Stockton and Modesto Campuses,California
104,John F Kennedy University,California
105,American Jewish University,California
106,University of La Verne,California
107,Lincoln University,California
108,La Sierra University,California
109,The Master's College and Seminary,California
110,Loyola Marymount University,California
111,Menlo College,California
112,Mills College,California
113,Monterey Institute of International Studies,California
114,Mount St Mary's College,California
115,National University,California
116,Notre Dame de Namur University,California
117,Occidental College,California
118,Hope International University,California
119,Pacific Union College,California
120,University of the Pacific,California
121,Pepperdine University,California
122,Pitzer College,California
123,Point Loma Nazarene University,California
124,Pomona College,California
125,University of Redlands,California
126,San Diego State University,California
127,University of San Diego,California
128,San Francisco State University,California
129,University of San Francisco,California
130,San Jose State University,California
131,Santa Clara University,California
132,Scripps College,California
133,Simpson University,California
134,Saint Mary's College of California,California
135,Sonoma State University,California
136,Vanguard University of Southern California,California
137,University of Southern California,California
138,Thomas Aquinas College,California
139,Westmont College,California
140,Whittier College,California
141,Woodbury University,California
142,Adams State University,Colorado
143,University of Colorado Denver,Colorado
144,University of Colorado Colorado Springs,Colorado
145,University of Colorado Boulder,Colorado
146,Colorado Christian University,Colorado
147,Colorado College,Colorado
148,Colorado School of Mines,Colorado
149,Colorado State University-Fort Collins,Colorado
150,College America-Denver,Colorado
151,University of Denver,Colorado
152,Fort Lewis College,Colorado
153,Colorado Mesa University,Colorado
154,Metropolitan State University of Denver,Colorado
155,Naropa University,Colorado
156,University of Northern Colorado,Colorado
157,Regis University,Colorado
158,Colorado State University-Pueblo,Colorado
159,Western State Colorado University,Colorado
160,Albertus Magnus College,Connecticut
161,University of Bridgeport,Connecticut
162,Central Connecticut State University,Connecticut
163,Charter Oak State College,Connecticut
164,Connecticut College,Connecticut
165,University of Connecticut,Connecticut
166,Eastern Connecticut State University,Connecticut
167,Fairfield University,Connecticut
